"exercise_db_id","name","gifUrl","bodyParts","equipments","targetMuscles","secondaryMuscles"
"01qpYSe","upward facing dog","https://static.exercisedb.dev/media/01qpYSe.gif","back","body weight","spine","shoulders|chest"
"03lzqwk","assisted hanging knee raise","https://static.exercisedb.dev/media/03lzqwk.gif","waist","assisted","abs","hip flexors"
"05Cf2v8","impossible dips","https://static.exercisedb.dev/media/05Cf2v8.gif","upper arms","body weight","triceps","chest|shoulders"
"0br45wL","push-up inside leg kick","https://static.exercisedb.dev/media/0br45wL.gif","upper legs","body weight","glutes","quadriceps|hamstrings|calves|core"
"0CXGHya","cable cross-over variation","https://static.exercisedb.dev/media/0CXGHya.gif","chest","cable","pectorals","deltoids|triceps"
"0dCyly0","barbell seated bradford rocky press","https://static.exercisedb.dev/media/0dCyly0.gif","shoulders","barbell","delts","triceps|upper back"
"0I5fUyn","band underhand pulldown with classic","https://static.exercisedb.dev/media/0I5fUyn.gif","back","band","lats","biceps|forearms"
"0IgNjSM","dumbbell standing reverse curl","https://static.exercisedb.dev/media/0IgNjSM.gif","upper arms","dumbbell","biceps","forearms"
"0jp9Rlz","one leg floor calf raise","https://static.exercisedb.dev/media/0jp9Rlz.gif","lower legs","body weight","calves","ankles|feet"
"0JtKWum","dumbbell burpee","https://static.exercisedb.dev/media/0JtKWum.gif","cardio","dumbbell","cardiovascular system","quadriceps|hamstrings|calves|shoulders|triceps|core"
"0L2KwtI","roller hip lat stretch","https://static.exercisedb.dev/media/0L2KwtI.gif","upper legs","roller","glutes","hamstrings|quadriceps"
"0lQnxMZ","weighted sissy squat","https://static.exercisedb.dev/media/0lQnxMZ.gif","upper legs","weighted","quads","glutes|hamstrings|calves"
"0mB6wHO","runners stretch","https://static.exercisedb.dev/media/0mB6wHO.gif","upper legs","body weight","hamstrings","calves|quadriceps"
"0MlxeMn","gentle style cable pulldown (pro lat bar)","https://static.exercisedb.dev/media/0MlxeMn.gif","back","cable","lats","biceps|forearms"
"0rHfvy9","inverse leg curl (on pull-up cable machine)","https://static.exercisedb.dev/media/0rHfvy9.gif","upper legs","body weight","hamstrings","glutes|calves"
"0S75mYG","smith seated one leg calf raise","https://static.exercisedb.dev/media/0S75mYG.gif","lower legs","smith machine","calves","hamstrings"
"0V2YQjW","pull up (neutral grip)","https://static.exercisedb.dev/media/0V2YQjW.gif","back","body weight","lats","biceps|forearms"
"0xDpB4L","resistance band seated hip abduction","https://static.exercisedb.dev/media/0xDpB4L.gif","upper legs","resistance band","abductors","glutes|hamstrings"
"0Yz8WdV","bear crawl","https://static.exercisedb.dev/media/0Yz8WdV.gif","cardio","body weight","cardiovascular system","core|shoulders|triceps"
"10Z2DXU","sled 45в° leg press","https://static.exercisedb.dev/media/10Z2DXU.gif","upper legs","sled machine","glutes","quadriceps|hamstrings|calves"
"11wrviz","isometric wipers","https://static.exercisedb.dev/media/11wrviz.gif","chest","body weight","pectorals","shoulders|triceps|core"
"13TpY4H","raise single arm push-up","https://static.exercisedb.dev/media/13TpY4H.gif","chest","body weight","pectorals","triceps|shoulders|core"
"13VW2VO","weighted stretch lunge","https://static.exercisedb.dev/media/13VW2VO.gif","upper legs","weighted","glutes","quadriceps|hamstrings|calves"
"17bqEXD","seated calf stretch (male)","https://static.exercisedb.dev/media/17bqEXD.gif","lower legs","body weight","calves","hamstrings"
"17lJ1kr","lever lying leg curl","https://static.exercisedb.dev/media/17lJ1kr.gif","upper legs","leverage machine","hamstrings","calves"
"196HJGw","hip raise (bent knee)","https://static.exercisedb.dev/media/196HJGw.gif","waist","body weight","abs","glutes|hamstrings"
"1bQkKZK","smith bent knee good morning","https://static.exercisedb.dev/media/1bQkKZK.gif","upper legs","smith machine","glutes","hamstrings|lower back"
"1cTf2Ux","ez bar standing french press","https://static.exercisedb.dev/media/1cTf2Ux.gif","upper arms","ez barbell","triceps","shoulders"
"1DN3iz4","smith upright row","https://static.exercisedb.dev/media/1DN3iz4.gif","shoulders","smith machine","delts","traps|biceps"
"1g5bPpA","jack jump (male)","https://static.exercisedb.dev/media/1g5bPpA.gif","cardio","body weight","cardiovascular system","quadriceps|calves"
"1gFNTZV","barbell jump squat","https://static.exercisedb.dev/media/1gFNTZV.gif","upper legs","barbell","glutes","quadriceps|hamstrings|calves"
"1GPHRyK","janda sit-up","https://static.exercisedb.dev/media/1GPHRyK.gif","waist","body weight","abs","hip flexors|lower back"
"1IFV9h3","push-up on lower arms - resistance variation","https://static.exercisedb.dev/media/1IFV9h3.gif","upper arms","body weight","triceps","chest|shoulders"
"1IG6gVF","prone twist on stability ball","https://static.exercisedb.dev/media/1IG6gVF.gif","waist","stability ball","abs","obliques|lower back"
"1jXLYEw","standing lateral stretch","https://static.exercisedb.dev/media/1jXLYEw.gif","back","body weight","lats","shoulders|obliques"
"1kB3Wmk","dumbbell single leg calf raise","https://static.exercisedb.dev/media/1kB3Wmk.gif","lower legs","dumbbell","calves","ankles"
"1LVFcEn","calf stretch with rope","https://static.exercisedb.dev/media/1LVFcEn.gif","lower legs","rope","calves","hamstrings"
"1oE78pm","core barbell upright row v. 2","https://static.exercisedb.dev/media/1oE78pm.gif","shoulders","barbell","delts","traps|biceps"
"1PK5Uo3","cable incline pushdown","https://static.exercisedb.dev/media/1PK5Uo3.gif","back","cable","lats","triceps|shoulders"
"1PLE8e9","dumbbell incline twisted flyes","https://static.exercisedb.dev/media/1PLE8e9.gif","chest","dumbbell","pectorals","shoulders|triceps"
"1qrWgZ2","dumbbell decline hammer press","https://static.exercisedb.dev/media/1qrWgZ2.gif","chest","dumbbell","pectorals","triceps|shoulders"
"1RIkUHT","dumbbell iron cross - improved variation","https://static.exercisedb.dev/media/1RIkUHT.gif","shoulders","dumbbell","delts","triceps|chest"
"1TkiAFK","dumbbell one arm shoulder press v. 2","https://static.exercisedb.dev/media/1TkiAFK.gif","shoulders","dumbbell","delts","triceps|upper back"
"1TVoin7","barbell lying triceps extension double","https://static.exercisedb.dev/media/1TVoin7.gif","upper arms","barbell","triceps","shoulders"
"1u36hhy","stability lever narrow grip seated row","https://static.exercisedb.dev/media/1u36hhy.gif","back","leverage machine","upper back","biceps|forearms"
"1V1gj1u","barbell seated close-grip concentration curl","https://static.exercisedb.dev/media/1V1gj1u.gif","upper arms","barbell","biceps","forearms"
"1VpF8db","dumbbell bicep curl lunge with bowling motion","https://static.exercisedb.dev/media/1VpF8db.gif","upper arms","dumbbell","biceps","forearms|shoulders"
"1xHyxys","cable high pulley overhead tricep extension","https://static.exercisedb.dev/media/1xHyxys.gif","upper arms","cable","triceps","shoulders"
"1YB40kg","incline close-grip push-up","https://static.exercisedb.dev/media/1YB40kg.gif","upper arms","body weight","triceps","chest|shoulders"
"1YUWDNZ","extended style inverted row","https://static.exercisedb.dev/media/1YUWDNZ.gif","back","body weight","upper back","biceps|forearms"
"1ZFqTDN","air bike","https://static.exercisedb.dev/media/1ZFqTDN.gif","waist","body weight","abs","hip flexors"
"225x2Vd","band kneeling twisting crunch","https://static.exercisedb.dev/media/225x2Vd.gif","waist","band","abs","obliques"
"25GPyDY","barbell curl","https://static.exercisedb.dev/media/25GPyDY.gif","upper arms","barbell","biceps","forearms"
"27NNGFr","cable incline fly (on stability ball)","https://static.exercisedb.dev/media/27NNGFr.gif","chest","cable","pectorals","deltoids|triceps"
"2dImyQ8","dumbbell seated palms up wrist curl","https://static.exercisedb.dev/media/2dImyQ8.gif","lower arms","dumbbell","forearms","biceps|shoulders"
"2Dk4xQV","rocking frog stretch","https://static.exercisedb.dev/media/2Dk4xQV.gif","upper legs","body weight","glutes","hamstrings|quadriceps"
"2DxtqHL","barbell one arm side deadlift","https://static.exercisedb.dev/media/2DxtqHL.gif","upper legs","barbell","glutes","hamstrings|quadriceps|lower back"
"2gPfomN","3/4 sit-up","https://static.exercisedb.dev/media/2gPfomN.gif","waist","body weight","abs","hip flexors|lower back"
"2IHEa2T","barbell floor calf raise","https://static.exercisedb.dev/media/2IHEa2T.gif","lower legs","barbell","calves","hamstrings"
"2IxROQ1","cable overhead triceps extension (rope attachment)","https://static.exercisedb.dev/media/2IxROQ1.gif","upper arms","cable","triceps","shoulders"
"2JCuFTU","dumbbell kneeling bicep curl exercise ball","https://static.exercisedb.dev/media/2JCuFTU.gif","upper arms","dumbbell","biceps","forearms"
"2jl9K55","spine twist","https://static.exercisedb.dev/media/2jl9K55.gif","waist","body weight","abs","obliques|lower back"
"2kattbR","ez barbell spider curl","https://static.exercisedb.dev/media/2kattbR.gif","upper arms","ez barbell","biceps","forearms"
"2KGnL6M","lever one arm shoulder press","https://static.exercisedb.dev/media/2KGnL6M.gif","shoulders","leverage machine","delts","triceps|upper back"
"2kr2lWy","push-up (bosu ball)","https://static.exercisedb.dev/media/2kr2lWy.gif","chest","bosu ball","pectorals","triceps|shoulders|core"
"2LQkNPW","exercise ball hip flexor stretch","https://static.exercisedb.dev/media/2LQkNPW.gif","upper legs","stability ball","glutes","quadriceps|hamstrings"
"2NImIAG","dumbbell bicep curl on exercise ball with leg raised","https://static.exercisedb.dev/media/2NImIAG.gif","upper arms","dumbbell","biceps","forearms|shoulders"
"2NpxjC1","dumbbell hammer curl v. 2","https://static.exercisedb.dev/media/2NpxjC1.gif","upper arms","dumbbell","biceps","forearms"
"2ORFMoR","hack calf raise","https://static.exercisedb.dev/media/2ORFMoR.gif","lower legs","sled machine","calves","hamstrings|glutes"
"2Pya1cP","cable decline press","https://static.exercisedb.dev/media/2Pya1cP.gif","chest","cable","pectorals","triceps|shoulders"
"2Qh2J1e","sled 45° leg press (side pov)","https://static.exercisedb.dev/media/2Qh2J1e.gif","upper legs","sled machine","glutes","quadriceps|hamstrings|calves"
"2qTvJAZ","barbell standing back wrist curl","https://static.exercisedb.dev/media/2qTvJAZ.gif","lower arms","barbell","forearms","biceps|shoulders"
